HomeName,Price,Space,Superhost,Rank
Entire Apartment in Central Austin,Price$69,Entire house · 1 bed,YES,169
Cozy home close to DWTN & UT,Price$40,Private room · 1 queen bed,YES,170
NEW + East Austin + Abode + Sleeps 14,Price$75,Entire house · 8 beds,YES,171
Resort-Style Luxury guest suite w POOL+kitchenette,Price$140,Entire guest suite · 2 beds,YES,172
Tiny Home Cottage for Two in Hip East DT! (L5),Price$69,Entire house · 1 bed,YES,173
»»» PRIVATE 2BR Oasis in the Heart Of Austin «««,Price$75,Entire house · 3 beds,NO,174
Quiet Room in E. Austin - Windsor Park/Mueller,Price$39,Private room · 1 bed,YES,175
"Eastside Container - Near Train, Downtown & UT",Price$45,Entire guesthouse · 1 queen bed,YES,176
Minutes to the heart of Austin!,Price$30,Private room · 1 double bed,NO,177
Breezy - Tiny House at MLF Community First Village,Price$52,Entire house · 1 double bed,YES,178
Xeriscape Bungalow in Hip E. Austin,Price$95,Entire house · 4 beds,NO,179
8 blocks to Rainey! Walk downtown!,Price$80,Entire house · 8 beds,NO,180
Private room/bath - 15 minutes from downtown,Price$40,Private room · 1 bed,NO,181
Lavishly appointed master bed/bath,Price$40,Private room · 1 bed,YES,182
Chic downtown 6th St. Condo,Price$138,Entire condominium · 2 beds,YES,183
"Casa Banditos! Walk to ACL, SXSW, nightlife!!!",Price$110,Entire apartment · 2 beds,YES,184
Hyde Park Gallery Getaway,Price$94,Entire bungalow · 1 bed,YES,185
Trendy Travis Heights Flat,Price$91,Entire apartment · 1 bed,YES,186
Bennett Ave (master bedroom),Price$30,Private room · 1 bed,NO,187
Spacious Modern 1Bd Room Near Downtown & UT,Price$58,Entire apartment · 0 beds,NO,188
Clean and comfy bed & bath in S Austin,Price$32,Private room · 1 bed,NO,189
SOCO -Spacious 4BR (Austin City Hotel tax incl),Price$344,Entire house · 8 beds,YES,190
Walkable Cherrywood House close to UT and downtown,Price$33,Private room · 2 beds,NO,191
COZY BRIGHT AIRY Home 10 minutes from EVERYTHING!,Price$65,Entire house · 3 beds,YES,192
★Texas Treasure★ Walkable and 9 mins from downtown,Price$37,Entire house · 2 beds,YES,193
Cenote Studio right downtown,Price$80,Entire apartment · 2 beds,YES,194
Austin Treehouse! Walk to Everything!,Price$65,Entire house · 2 beds,NO,195
Hideaway Guest Suite-Travis Heights,Price$164,Entire house · 1 bed,YES,196
Shared Eastside house with Private Bed & Bath,Price$39,Private room · 1 queen bed,NO,197
"Keep it Simple w/2Bed, 1Bath",Price$99,Entire house · 2 beds,YES,198
7 Bedroom East Downtown House,"Price$1,050",Entire house · 9 beds,YES,199
"Twin beds, Private Room Hostel-esque Style AIRBNB",Price$26,Private room · 2 beds,YES,200
Comfy Room in Trendy South Austin,Price$50,Private room · 1 queen bed,YES,201
"PRIME walking distance from ACL, shopping, bars!",Price$94,Entire apartment · 2 beds,YES,202
1 luxurious cozy bedroom downtown/soco,Price$62,Entire apartment · 2 beds,NO,203
Epicenter of Luxury and Convenience near Downtown,Price$88,Entire apartment · 2 beds,NO,204
Two Bedroom Condo on Town Lake,Price$89,Entire condominium · 3 beds,NO,205
Cozy studio with lots to offer!,Price$75,Entire apartment · 2 beds,NO,206
Luxury Townhome★Walk ATX★Museums★Bars★Restaurants,Price$86,Entire townhouse · 8 beds,YES,207
"Open, Airy Tiny House-Central & UT!",Price$49,Entire house · 1 queen bed,YES,208
Luxury Apartment on Rainey Street w/ PARKING,Price$155,Entire apartment · 3 beds,YES,209
"MODERN 1 BEDROOM EAST MLK BLVD, NEAR DOWNTOWN/ UT",Price$74,Entire apartment · 1 bed,NO,210
